單字,翻譯,英文例句,中文例句
move forward,推進、前進,Let’s move forward with the proposal.,我們來推進這項提案吧。
movement,移動、運動,There’s a growing movement toward sustainability.,越來越多人支持永續發展運動。
multinational,跨國的,She works for a multinational corporation.,她任職於一家跨國公司。
multitask,多工處理,You need to multitask in this position.,這個職位需要多工處理能力。
mutual,互相的、共同的,We reached a mutual agreement.,我們達成了共識。
margin of error,誤差範圍,The result is within the margin of error.,結果在誤差範圍內。
marketing mix,行銷組合,"The marketing mix includes product, price, place, and promotion.",行銷組合包含產品、價格、通路與促銷。
market share,市佔率,Their market share increased last year.,他們的市佔率去年提升了。
mid-size,中型的,The company is a mid-size enterprise.,這是一家中型企業。
milestone payment,里程碑付款,We receive milestone payments at each phase.,我們在每個階段收取里程碑付款。
manufacturing plant,製造工廠,The manufacturing plant is located in Texas.,製造工廠位於德州。
mutual fund,共同基金,He invested in a mutual fund.,他投資了共同基金。
mobile payment,行動支付,Mobile payments are widely accepted.,行動支付已被廣泛接受。
market demand,市場需求,Market demand is growing rapidly.,市場需求快速成長。
micro-manage,微觀管理,The manager tends to micro-manage the team.,這位主管常過度干預團隊細節。
main office,總公司,The main office is in Seoul.,總公司在首爾。
meeting agenda,會議議程,Please review the meeting agenda.,請先看過會議議程。
maintenance fee,維護費,The monthly maintenance fee is $50.,每月維護費為 50 美元。
market research,市場調查,We conducted market research before launching.,上市前我們進行了市場調查。
monthly installment,每月分期付款,The monthly installment is affordable.,每月分期付款金額合理。
manual labor,體力勞動,The job involves a lot of manual labor.,這份工作需要大量體力。
machine learning,機器學習,Machine learning is used in data analysis.,機器學習用於數據分析。
mailing list,郵件清單,Add me to the company mailing list.,請把我加入公司郵件清單。
mobile device,行動裝置,The app works on any mobile device.,這款 App 可在任意行動裝置上運行。
member benefit,會員福利,What are the member benefits?,有哪些會員福利？
market trend,市場趨勢,We must follow the latest market trends.,我們必須掌握最新市場趨勢。
meeting minutes,會議紀錄,I’ll write the meeting minutes.,我會撰寫會議紀錄。
media coverage,媒體報導,The event received international media coverage.,該活動獲得國際媒體報導。
monthly target,月目標,We hit our monthly sales target.,我們達成了本月銷售目標。
marketing department,行銷部門,The marketing department designed the campaign.,行銷部門設計了這次活動。
merger deal,合併協議,The merger deal was finalized yesterday.,合併協議昨天敲定。
market saturation,市場飽和,The smartphone market is reaching saturation.,智慧型手機市場正趨於飽和。
mobile workforce,行動勞動力,A mobile workforce improves flexibility.,行動化勞動力能提升彈性。
market analyst,市場分析師,The market analyst predicted strong growth.,市場分析師預測將有強勁成長。
motivational speech,激勵演說,The CEO gave a motivational speech.,執行長發表了一場激勵人心的演說。
media outlet,媒體單位,Several media outlets covered the story.,多家媒體報導了這則新聞。
mutual respect,相互尊重,Mutual respect is key in teamwork.,團隊合作的關鍵是相互尊重。
monthly subscription,月訂閱,I signed up for a monthly subscription.,我訂閱了月方案。
name,名字、命名,Please write your full name on the form.,請在表格上寫下你的全名。
narrow,狹窄的、縮小範圍,We need to narrow down the list of candidates.,我們需要縮小候選人名單範圍。
nationwide,全國性的,The product was launched nationwide.,該產品已在全國上市。
nature,性質、自然,The nature of the problem is financial.,問題的性質是財務方面的。
navigate,導航、應對,He had to navigate a tough negotiation.,他必須應對一場艱難的談判。
negotiation,協商、談判,The salary negotiation went smoothly.,薪資談判進行得很順利。
network,網路、人脈,She is building a strong professional network.,她正在建立強大的人脈網絡。
newsletter,電子報、通訊,I subscribed to the company newsletter.,我訂閱了公司的電子報。
new hire,新進員工,The manager introduced the new hire to the team.,經理向團隊介紹新進員工。
new product,新產品,We’re planning a new product launch in Q4.,我們計畫在第四季推出新產品。
niche,利基市場、專門領域,They found success in a niche market.,他們在利基市場中取得成功。
nominate,提名,She was nominated for employee of the year.,她被提名為年度最佳員工。
nomination,提名、推薦,The nomination was well received.,這項提名受到好評。
non-disclosure,保密（協議）,Please sign the non-disclosure agreement.,請簽署保密協議。
non-profit,非營利的,She works for a non-profit organization.,她在一個非營利機構工作。
notebook,筆記本,Please bring your notebook to the meeting.,請帶你的筆記本參加會議。
notable,值得注意的、著名的,He made a notable contribution to the project.,他對這個專案做出了顯著貢獻。
notice,通知、注意,We received short notice for the inspection.,我們臨時接到檢查通知。
notify,通知,Please notify HR of your resignation.,請通知人資你要辭職。
novice,新手、初學者,"As a novice, he still needs training.",身為新手，他仍需培訓。
no-show,未出席者,We had three no-shows for the interview.,有三位面試者未出席。
no-obligation,無義務的,This is a no-obligation trial offer.,這是一項無義務試用優惠。
non-refundable,不可退費的,The deposit is non-refundable.,訂金不可退還。
non-negotiable,不可協商的,The terms are final and non-negotiable.,條款已定，不可協商。
nonprofit sector,非營利部門,She has worked in the nonprofit sector for years.,她在非營利部門工作多年。
normal,正常的、一般的,Business is back to normal.,生意恢復正常了。
noteworthy,值得一提的,His performance is noteworthy.,他的表現值得一提。
norm,常規、標準,Working overtime has become the norm here.,在這裡加班已成常態。
northern,北部的,The northern branch is performing well.,北部分公司表現不錯。
noticeable,明顯的、引人注意的,There was a noticeable improvement in quality.,品質明顯提升了。
number,數字、編號,Please give me your contact number.,請給我你的聯絡電話。
numerous,許多的,She made numerous suggestions during the meeting.,她在會議中提出了許多建議。
nurture,培育、養成,We aim to nurture young talent.,我們致力於培養年輕人才。
neutral,中立的,Try to remain neutral in the discussion.,討論時請保持中立。
next quarter,下一季度,Our budget will increase next quarter.,下個季度我們的預算將會增加。
net profit,淨利,Net profit rose by 15% last year.,去年淨利成長了15%。
net income,淨收入,"His net income after taxes is $3,000.","扣稅後的淨收入是3,000元。"
negotiation skills,談判技巧,She has excellent negotiation skills.,她有很棒的談判技巧。
new policy,新政策,The company introduced a new policy today.,公司今天推出了新政策。
network failure,網路故障,We experienced a network failure this morning.,今天早上我們遇到了網路故障。
